This is the collection of GM vehicles on soloautosmx website
Vehicle	Cylinder	Capacity	Transmission	Fuel Type	Door
2010 Hummer H3T SUT AWD D Adventure Alpha	8	5.3	automático	gasolina premium	4
2007 Cadillac BLS Premium 4pts. K	4	2	automático	gasolina premium	4
2015 Chevrolet Aveo J LS, Automático con A/A, con radio	4	1.6	automático	gasolina	4
2014 Chevrolet Aveo A LS Manual	4	1.6	manual	gasolina	4
2018 Chevrolet Camaro LT Turbo AT A	4	2.0	automático	gasolina premium	2
2018 Chevrolet Cheyenne LTZ Crew Cab G	8	6.2	automático	gasolina	4
2013 Chevrolet Colorado Doble Cabina 4x4 TA	6	3.6	automático	gasolina	4
2014 Chevrolet Malibu 2.0 G LTZ Turbo Nav TA	4	2.0	automático	gasolina premium	4
2015 Chevrolet Matiz B Radio y AA	4	1.0	manual	gasolina	5
2015 Chevrolet Silverado 2500 LS Cab Reg J 4X2	8	5.3	automático	gasolina	2
2015 Chevrolet Sonic TM D	4	1.6	manual	gasolina	4
2014 Chevrolet Spark ZMX F TM	4	1.2	manual	gasolina	5
2017 Chevrolet Spark Classic LTZ C TM	4	1.2	manual	gasolina	5
2015 Chevrolet Tahoe F	8	5.3	automático	gasolina	5
2015 Chevrolet Traverse LT Piel con Quemacocos B	6	3.6	automático	gasolina premium	5
2009 Chevrolet Traverse LT Tela A	6	3.6	automático	gasolina premium	5
2015 Chevrolet Trax C LTZ	4	1.8	automático	gasolina	5
2015 Chevrolet Trax A LS	4	1.8	manual	gasolina	5
2015 Chevrolet Trax C LTZ	4	1.8	automático	gasolina	5
2010 GMC Sierra 4x4 Crew Cab B	8	5.3	automático	gasolina premium	4
2016 Buick Enclave Premium D AWD	6	3.6	automático	gasolina premium	5
2001 CADILLAC DE VILLE STS B	8	4.6	automático	gasolina	4
2017 Cadillac Escalade SUV AWD Platinum P	8	6.2	automático	gasolina premium	5
2012 Chevrolet Aveo MT D	4	1.6	manual	gasolina	4
2007 Chevrolet Chevy 5 ptas Base AC M	4	1.6	manual	gasolina premium	5
2008 Chevrolet Chevy 3 ptas Base AC, DH y Radio H	4	1.6	manual	gasolina premium	3
2016 Chevrolet Sonic LT D TM	4	1.6	manual	gasolina	4
2012 Chevrolet Sonic MT A	4	1.6	manual	gasolina	4
2006 Chevrolet Suburban A	8	5.3	automático	gasolina premium	5
2007 Chevrolet Tahoe C Piel DVD	8	5.3	automático	gasolina premium	5
2018 Chevrolet Tornado LS A	4	1.8	manual	gasolina	2
