This is the collection of BMW vehicles on soloautosmx website
Vehicle	Cylinder	Capacity	Transmission	Fuel Type	Door
2003 BMW Series 3 320i Lujo	6	2.2	manual	gasolina	4
2003 BMW Series 3 320i Fórmula 1	6	2.2	manual	gasolina	4
2003 BMW X5 3.0i AT Fórmula 1	6	3	automático	gasolina	5
2003 BMW Series 3 320i Fórmula 1	6	2.2	manual	gasolina	4
2003 MINI MINI Cooper Chili	4	1.6	manual	gasolina premium	3
2003 BMW X5 3.0i AT Top Line	6	3	automático	gasolina	5
2003 BMW Series 3 325i Lujo	6	2.5	manual	gasolina	4
2003 BMW Series 3 330i	6	3	manual	gasolina	4
2003 BMW X5 3.0i AT Fórmula 1	6	3	automático	gasolina	5
2003 BMW Series 3 320i Fórmula 1	6	2.2	manual	gasolina	4
2003 BMW Series 3 320i Fórmula 1	6	2.2	manual	gasolina	4
2003 BMW Series 3 325i Lujo	6	2.5	manual	gasolina	4
BMW Serie 3 2003	6		Automatica	Gasolina	
2004 BMW X5 3.0i AT Fórmula 1	6	3	automático	gasolina premium	5
2004 BMW X5 3.0i AT Fórmula 1	6	3	automático	gasolina premium	5
2004 BMW Z4 3.0I SMG	6	3	manual	gasolina premium	2
2004 BMW X5 3.0i AT Fórmula 1	6	3	automático	gasolina premium	5
2004 BMW Series 3 325i Lujo	6	2.5	manual	gasolina premium	4
2004 BMW X3 2.5i Lujo MT	6	2.5	manual	gasolina premium	5
2004 BMW Series 3 320iA Top Line	6	2.2	automático	gasolina premium	4
2004 BMW X3 3.0i Sound Package MT	6	3	manual	gasolina premium	5
2004 BMW X5 3.0i AT Fórmula 1	6	3	automático	gasolina premium	5
2004 BMW X5 4.4i AT Lujo	8	4.4	automático	gasolina premium	5
2004 BMW Series 5 545i A	8	4.4	automático	gasolina premium	4
2004 BMW X3 2.5i Lujo MT	6	2.5	manual	gasolina premium	5
2004 BMW Series 3 325i Fórmula 1	6	2.5	manual	gasolina premium	4
2004 MINI MINI Cooper Chili	4	1.6	manual	gasolina premium	3
BMW Serie 5 2004	6		Automatica	Gasolina	
2004 BMW Series 3 330Ci	6	3	manual	gasolina premium	2
2004 BMW Series 3 325i Fórmula 1	6	2.5	manual	gasolina premium	4
2004 BMW X5 3.0i AT Fórmula 1	6	3	automático	gasolina premium	5
2004 BMW X3 2.5i Lujo MT	6	2.5	manual	gasolina premium	5
2004 BMW Series 3 320i Fórmula 1	6	2.2	manual	gasolina premium	4
2004 BMW X3 3.0iA Sport AT	6	3	automático	gasolina premium	5
2004 BMW Series 3 325Ci	6	2.5	manual	gasolina premium	2
2004 BMW X5 3.0i AT Lujo	6	3	automático	gasolina premium	5
2004 MINI MINI Cooper Chili	4	1.6	manual	gasolina premium	3
2004 MINI MINI Cooper Chili	4	1.6	manual	gasolina premium	3
2004 BMW Series 3 320i Fórmula 1	6	2.2	manual	gasolina premium	4
2004 MINI MINI Cooper Chili	4	1.6	manual	gasolina premium	3
2005 BMW X5 4.8is	8	4.8	automático	gasolina premium	5
2005 BMW X5 3.0i AT Fórmula 1	6	3	automático	gasolina premium	5
2005 BMW X3 2.5i Lujo MT	6	2.5	manual	gasolina premium	5
2005 BMW X5 3.0i AT Fórmula 1	6	3	automático	gasolina premium	5
2005 BMW Series 3 320i Edition Exclusive	6	2.2	manual	gasolina premium	4
2005 BMW Series 3 320i Edition Exclusive	6	2.2	manual	gasolina premium	4
2005 BMW Series 3 330iA	6	3	automático	gasolina premium	4
2005 BMW Series 5 545i MT	8	4.4	manual	gasolina premium	4
2005 MINI MINI Cooper S Convertible Hot Chili	4	1.6	manual	gasolina premium	2
2005 BMW X5 3.0i MT Fórmula 1	6	3	manual	gasolina premium	5
2005 BMW X3 2.5i Lujo MT	6	2.5	manual	gasolina premium	5
2005 BMW X3 3.0iA Family AT	6	3	automático	gasolina premium	5
2005 BMW Serie 6 645 Ci Coupe SMG	8	4.4	manual	gasolina premium	2
2005 BMW Serie 3 325Ci Cabrio	6	2.5	manual	gasolina premium	2
2005 BMW Series 3 320i Lujo Piel	6	2.2	manual	gasolina premium	4
2005 BMW Series 3 320i Edition Exclusive	6	2.2	manual	gasolina premium	4
2005 BMW Serie 3 325Ci Cabrio	6	2.5	manual	gasolina premium	2
2005 BMW Series 3 325Ci	6	2.5	manual	gasolina premium	2
2005 MINI MINI Cooper S Chili	4	1.6	manual	gasolina premium	3
2005 BMW X5 3.0i AT Fórmula 1	6	3	automático	gasolina premium	5
2005 BMW Series 3 320i Edition Exclusive	6	2.2	manual	gasolina premium	4
