This is the collection of Ford vehicles on soloautosmx website
Vehicle	Cylinder	Capacity	Transmission	Fuel Type	Door
2002 Ford Focus SE Manual	4	2	manual	gasolina	4
2002 Ford Escape XLT,Tela	6	3	automático	gasolina	5
2002 Ford Windstar SEL	6	3.8	automático	gasolina	5
2002 Ford Explorer XLT V8 TELA 3RA FILA	8	4.6	automático	gasolina	5
2002 Ford Ranger (O) Cab y Media,Sport	6	3	automático	gasolina	4
2002 Ford Expedition Eddie Bauer	8	5.4	automático	gasolina	5
2002 Ford Expedition Eddie Bauer	8	5.4	automático	gasolina	5
2002 FORD Escape XLT,Piel	6	3	automático	gasolina	5
FORD Thunderbird 2002	8		Automatica	Gasolina	
2002 Ford F-150 XL	6	4.2	manual	gasolina	2
2002 Ford F-150 XL,Clima	6	4.2	manual	gasolina	2
FORD Explorer Sport Trac 2002	6		Automatica	Gasolina	
2002 Ford Windstar SE Tela	6	3.8	automático	gasolina	5
2002 Ford Escape XLS,Tela	6	3	automático	gasolina	5
2002 Ford Escape XLS,Tela	6	3	automático	gasolina	5
2002 FORD Mustang Equipado,Automático	8	4.6	automático	gasolina	2
2002 Ford Econoline Van	6	4.2	automático	gasolina	5
2002 Ford F-150 XL	6	4.2	manual	gasolina	2
2002 Ford Escape XLS,Tela	6	3	automático	gasolina	5
2002 Ford Ranger (O) Cab y Media,Sport	6	3	automático	gasolina	4
2002 Ford F-150 XL	6	4.2	manual	gasolina	2
2002 Ford Focus LX Autom	4	2	automático	gasolina	4
2002 Ford Windstar LX Base,3 Puertas	6	3.8	automático	gasolina	
FORD Thunderbird 2002	8		Automatica	Gasolina	
2002 Ford Explorer Eddie Bauer,V8	8	4.6	automático	gasolina	5
2002 Ford F-150 XL	6	4.2	manual	gasolina	2
2002 Ford Explorer Eddie Bauer,V8	8	4.6	automático	gasolina	5
2002 Ford Ranger (O) Cab y Media,Sport	6	3	automático	gasolina	4
2002 Ford Ranger (O) Cab y Media,Sport	6	3	automático	gasolina	4
2002 Ford Mondeo (O) Ghia Piel,6 Cil Autom	6	2.5	automático	gasolina	4
2002 FORD Mustang Base,Manual	8	4.6	manual	gasolina	2
2002 Ford F-150 XL	6	4.2	manual	gasolina	2
2002 Ford Explorer XLS,V6	6	4	automático	gasolina	5
2002 FORD Mustang Base,Manual	8	4.6	manual	gasolina	2
2002 Ford Explorer Eddie Bauer,V8	8	4.6	automático	gasolina	5
FORD Explorer Sport Trac 2002	6		Automatica	Gasolina	
2002 Ford Explorer Eddie Bauer,V8	8	4.6	automático	gasolina	5
2002 Ford Explorer Eddie Bauer,V8	8	4.6	automático	gasolina	5
2002 Ford Explorer Eddie Bauer,V8	8	4.6	automático	gasolina	5
2002 Ford Explorer Eddie Bauer,V8	8	4.6	automático	gasolina	5
2002 Ford Explorer Eddie Bauer,V8	8	4.6	automático	gasolina	5
2002 Ford Escape XLS,Tela	6	3	automático	gasolina	5
FORD Lighting 2002	8		Automatica	Gasolina	
2002 Ford Ranger Cab Regular,XL Chasis	4	2.3	manual	gasolina	2
2002 FORD Ranger Doble Cabina,XL Clima	4	2.3	manual	gasolina	4
2002 Ford Ranger Cab y Media,XL	4	2.3	manual	gasolina	2
2002 Ford Explorer Eddie Bauer,V8	8	4.6	automático	gasolina	5
2002 Ford Focus LX Autom	4	2	automático	gasolina	4
2002 Ford Lobo Doble Cabina,XLT 2 Tonos	8	5.4	automático	gasolina	4
