This is the collection of Ford vehicles on mercadolibre website
Vehicle	Year	Type	Engine	Transmission	Fuel Type	Door	Link
Ford Villager - $ 38,000.00	1996				Gasolina	2	https://auto.mercadolibre.com.mx/MLM-635735151-ford-villager-_JM
Ford Ranger Modelo 1996 - Precio Negociable - $ 40,000.00	1996			Automática	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-637404052-ford-ranger-modelo-1996-precio-negociable-_JM
Ford Explorer 4.0 V6 Sport  - $ 45,000.00	1996	SUV	4.0	Manual	Gasolina	3	https://auto.mercadolibre.com.mx/MLM-637417644-ford-explorer-40-v6-sport-_JM
Ford Explorer Sport 4x4 - $ 19,000.00	1996	SUV	4.0	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-635858260-ford-explorer-sport-4x4-_JM
Ford Ranger Pickup Xl L4 Mt - $ 45,000.00	1996	Pick-Up	4.0	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-637454324-ford-ranger-pickup-xl-l4-mt-_JM
Ford Mustang 4.6 Gt 5vel Tipico Mt 1996 - $ 28,000.00	1996	Convertible	4.6	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-635135290-ford-mustang-46-gt-5vel-tipico-mt-1996-_JM
Ford Windstar Lx Piel Mt 1996 - $ 28,000.00	1996	Van	3.0	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-635378819-ford-windstar-lx-piel-mt-1996-_JM
Ford Mustang 3.8 Coupe V6 - $ 35,000.00	1996				Gasolina	2	https://auto.mercadolibre.com.mx/MLM-634803580-ford-mustang-38-coupe-v6-_JM
Ford Explorer 4.0 Xlt V6  4x4 1996 - $ 39,000.00	1996	SUV	4.0	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-636744072-ford-explorer-40-xlt-v6-4x4-1996-_JM
Ford Explorer Sport 4x2 Mt 1996 - $ 124,848.00	1996	SUV	4.0	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-633578030-ford-explorer-sport-4x2-mt-1996-_JM
Ford Mustang 4.6 Gt Equipado Piel Cd At 1996 - $ 40,000.00	1996	Convertible	4.6	Automática	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-634423648-ford-mustang-46-gt-equipado-piel-cd-at-1996-_JM
Ford Windstar Limited Mt 1996 - $ 15,000.00	1996	Van	3.0	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-634240802-ford-windstar-limited-mt-1996-_JM
Ford Windstar Gl.wagon Aut. 6.cil  - $ 20,000.00	1996				Gasolina	3	https://auto.mercadolibre.com.mx/MLM-635129290-ford-windstar-glwagon-aut-6cil-_JM
Ford Explorer 4.0 Xlt V6 Tela 4x2 Mt 1996 En Buen Estado - $ 35,000.00	1996	SUV	4.0	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-637148923-ford-explorer-40-xlt-v6-tela-4x2-mt-1996-en-buen-estado-_JM
Ford Explorer 5.0l Xlt V8 4x2 Mt - $ 28,000.00	1996	SUV	5.0	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-635053556-ford-explorer-50l-xlt-v8-4x2-mt-_JM
Ford Grand Marquis Ls Digital At 1996 - $ 60,000.00	1996	Sedán	4.6	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-636905556-ford-grand-marquis-ls-digital-at-1996-_JM
Ford Escort Zx2 Mt - $ 20,000.00	1996	Sedán	2.0	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-634410428-ford-escort-zx2-mt-_JM
Ford Windstar Gl Base Mt - $ 19,999.00	1996	Van	3.0	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-635466039-ford-windstar-gl-base-mt-_JM
Ford Windstar Lx Base Mt - $ 28,000.00	1996	Van	3.0	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-634284844-ford-windstar-lx-base-mt-_JM
Ford F350 1997 Excelente Pintura Original Llantas Nuevas - $ 120,000.00	1997				Gasolina	2	https://auto.mercadolibre.com.mx/MLM-634641716-ford-f350-1997-excelente-pintura-original-llantas-nuevas-_JM
Ford Grand Marquis Tela Electrico Rines - $ 53,000.00	1997				Gasolina	4	https://auto.mercadolibre.com.mx/MLM-625825273-ford-grand-marquis-tela-electrico-rines-_JM
Ford F-350 - $ 78,500.00	1997	Monovolumen		Automática	Diesel	4	https://auto.mercadolibre.com.mx/MLM-629995180-ford-f-350-_JM
Ford Ranger Pickup - $ 62,500.00	1997				Gasolina	2	https://auto.mercadolibre.com.mx/MLM-632273557-ford-ranger-pickup-_JM
Ford F-350 2006 - $ 79,000.00	2004				Eléctrico	4	https://auto.mercadolibre.com.mx/MLM-631666427-ford-f-350-2006-_JM
Ford Ranger 2.3 Xlt Cabina Doble Ac Mt 1997 - $ 69,000.00	1997	Pick-Up	2.3	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-637500156-ford-ranger-23-xlt-cabina-doble-ac-mt-1997-_JM
Ford Explorer - $ 40,000.00	1997	Vagoneta	8 cilindros	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-632546329-ford-explorer-_JM
Ford Pick-up - $ 103,000.00	1997	Pick-Up	150	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-634410828-ford-pick-up-_JM
Ford Mustang Cobra Svt  - $ 350,000.00	1997	Coupé	4.0	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-634879596-ford-mustang-cobra-svt-_JM
Ford Lobo 5.4 Lariat Cabina Doble 4x2 Mt 2013 - $ 375,000.00	1997	Pick-Up	5.4	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-634163092-ford-lobo-54-lariat-cabina-doble-4x2-mt-2013-_JM
Ford F-250 - $ 240,000.00	1997			Automática	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-636355688-ford-f-250-_JM
Ford F-350 - $ 81,000.00	1997				Gasolina	2	https://auto.mercadolibre.com.mx/MLM-621288552-ford-f-350-_JM
Ford F-150 1997 Con 183000 Millas 4x4 - $ 75,500.00	1997			Automática	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-636837170-ford-f-150-1997-con-183000-millas-4x4-_JM
Ford Expedition 1997 - $ 59,500.00	1997	SUV	4.6	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-633190058-ford-expedition-1997-_JM
Ford Thunderbird Cambio Por Explorer 1997 A 2000 - $ 55,000.00	1993	Sedán	5.0	Automática	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-637275770-ford-thunderbird-cambio-por-explorer-1997-a-2000-_JM
Ford Cougar Mercury Xr7 - $ 40,000.00	1997				Gasolina	2	https://auto.mercadolibre.com.mx/MLM-636445980-ford-cougar-mercury-xr7-_JM
Ford F-150 4.6 Xl Cabina Doble 4x2 Mt - $ 35,000.00	1997	Pick-Up	4.6	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-631169608-ford-f-150-46-xl-cabina-doble-4x2-mt-_JM
Ford Ranger Xl Super Cab Mt 1997 - $ 69,000.00	1997	Pick-Up	4.0	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-618206977-ford-ranger-xl-super-cab-mt-1997-_JM
Ford Pick-up F-150 Lobo Mod 1997 En Perfecto Estado Llantas - $ 62,000.00	1997	Pick-Up	4.6	Manual	Gasolina	3	https://auto.mercadolibre.com.mx/MLM-632419518-ford-pick-up-f-150-lobo-mod-1997-en-perfecto-estado-llantas-_JM
Ford Ranger - $ 54,000.00	1997	Pick-Up	4 CILINDROS	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-631958392-ford-ranger-_JM
Ford Escort 4 Cilindros Estándar - $ 24,800.00	1997	Vagoneta	1.8	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-637276870-ford-escort-4-cilindros-estandar-_JM
Ford Econoline V8  Automatica - $ 95,000.00	1997	Van	v8	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-637027966-ford-econoline-v8-automatica-_JM
Ford Expedition 4.6 Xlt Plus Tela At 1997 - $ 97,000.00	1997	SUV	4.6	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-634523419-ford-expedition-46-xlt-plus-tela-at-1997-_JM
Ford F-150 - $ 52,000.00	1997	Pick-Up	8 CIL. 4.0	Automática	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-636441185-ford-f-150-_JM
Ford F-150 - $ 60,000.00	1997		Triton V8	Automática	Gasolina	3	https://auto.mercadolibre.com.mx/MLM-634624568-ford-f-150-_JM
Ford Mustang 4.6 Gt Equipado Piel Cd At - $ 82,000.00	1997	Convertible	4.6	Automática	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-637028226-ford-mustang-46-gt-equipado-piel-cd-at-_JM
Ford Grand Marquis Grand Marquis Cl - $ 60,000.00	1997				Gasolina	4	https://auto.mercadolibre.com.mx/MLM-635181041-ford-grand-marquis-grand-marquis-cl-_JM
Ford Grand Marquis - $ 63,000.00	1997	Sedán		Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-637394631-ford-grand-marquis-_JM
Ford Mustang 1997 Americano V6 Standar 3.8 - $ 38,000.00	1997	Coupé	4.0	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-633753773-ford-mustang-1997-americano-v6-standar-38-_JM
