This is the collection of Ford vehicles on mercadolibre website
Vehicle	Year	Type	Engine	Transmission	Fuel Type	Door	Link
Ford Focus Sedan Sport At 2010 - $ 99,500.00	2010	Coupé	2.0	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-633712128-ford-focus-sedan-sport-at-2010-_JM
Ford Edge 3.5 Limited V6 Piel Qc At - $ 166,000.00	2010	SUV	3.5	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-633553363-ford-edge-35-limited-v6-piel-qc-at-_JM
Ford Focus Hb Sport At 2010 - $ 125,000.00	2010	Hatchback	2.0	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-636199240-ford-focus-hb-sport-at-2010-_JM
Ford Explorer Sport Trac 2010 - $ 220,000.00	2010	Pick-Up	8 cil.	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-632524477-ford-explorer-sport-trac-2010-_JM
Ford F-150 - $ 160,000.00	2010	Pick-Up	8 CILINDROS 4.6 MUY ECONOMICO	Automática	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-629861693-ford-f-150-_JM
Ford Explorer Limited V6 Sync 4x2 Mt - $ 175,000.00	2010	SUV	4.0	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-630043347-ford-explorer-limited-v6-sync-4x2-mt-_JM
Ford Explorer Limited V6 Sync 4x2 Mt 2010 - $ 133,000.00	2010	SUV	4.0	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-633540687-ford-explorer-limited-v6-sync-4x2-mt-2010-_JM
Ford Lobo Raptor Svt 4x4 Supercab - $ 458,000.00	2010				Gasolina	4	https://auto.mercadolibre.com.mx/MLM-633943970-ford-lobo-raptor-svt-4x4-supercab-_JM
Ford Edge 3.5 Sel At 2010 - $ 179,800.00	2010	SUV	3.5	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-634995986-ford-edge-35-sel-at-2010-_JM
Ford Lobo 2010 - $ 205,000.00	2010				Gasolina	2	https://auto.mercadolibre.com.mx/MLM-633109228-ford-lobo-2010-_JM
Ford Explorer Limited V6 Sync 4x2 Mt - $ 175,000.00	2010	SUV	4.0	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-630043377-ford-explorer-limited-v6-sync-4x2-mt-_JM
Expedition Blanca 2010 Con 60,000 Km - $ 230,000.00	2010	SUV	5.4	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-633036519-expedition-blanca-2010-con-60000-km-_JM
Ford Mustang Lujo V6 Mt 2010 - $ 198,000.00	2010	Convertible	3.7	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-628976464-ford-mustang-lujo-v6-mt-2010-_JM
Ford Focus Sedan Ambiente At 2010 - $ 90,000.00	2010	Coupé	2.0	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-636975288-ford-focus-sedan-ambiente-at-2010-_JM
Ford Mustang V6 Aut 4.0 Lts 210 Hp A/ac Tracc Trasera 2010 - $ 185,000.00	2010				Gasolina	2	https://auto.mercadolibre.com.mx/MLM-633661686-ford-mustang-v6-aut-40-lts-210-hp-aac-tracc-trasera-2010-_JM
Ford Lobo Xlt - $ 239,000.00	2010	Pick-Up	5.0	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-635273416-ford-lobo-xlt-_JM
Ford Fusion Modelo 2010 Maquina 3.0 Automatico - $ 130,000.00	2010	Sedán	3.0	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-636612661-ford-fusion-modelo-2010-maquina-30-automatico-_JM
Ford Edge 2010 Limited - $ 215,000.00	2010	SUV	3.5	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-582854711-ford-edge-2010-limited-_JM
Ford Focus Hb St Europa 6vel Mt 3p - $ 170,000.00	2010	Hatchback	2.0	Manual	Gasolina	3	https://auto.mercadolibre.com.mx/MLM-630166432-ford-focus-hb-st-europa-6vel-mt-3p-_JM
Ford F-150 - $ 148,000.00	2010				Gasolina	2	https://auto.mercadolibre.com.mx/MLM-634836621-ford-f-150-_JM
Ford Explorer Sport Trac Lx - $ 158,000.00	2010				Gasolina	4	https://auto.mercadolibre.com.mx/MLM-634525751-ford-explorer-sport-trac-lx-_JM
Ford Focus Rs Estandar 4 Cil. 2010 Muy Potente, A Credito - $ 385,000.00	2010	Hatchback	4 cil	Manual	Gasolina	3	https://auto.mercadolibre.com.mx/MLM-632756793-ford-focus-rs-estandar-4-cil-2010-muy-potente-a-credito-_JM
Ford Mustang 2010 - $ 195,000.00	2010				Gasolina	2	https://auto.mercadolibre.com.mx/MLM-634627459-ford-mustang-2010-_JM
Ford Escape 2010 - $ 148,000.00	2010				Gasolina	5	https://auto.mercadolibre.com.mx/MLM-628976304-ford-escape-2010-_JM
Ford F-550 Motor Diesel Power Stroke 6.2 - $ 165,000.00	2010	Camión ligero	power stroke 6.2	Manual	Diesel	2	https://auto.mercadolibre.com.mx/MLM-632695459-ford-f-550-motor-diesel-power-stroke-62-_JM
Ford Mustang Lujo V6 Mt 2010 - $ 189,000.00	2010	Convertible	3.7	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-631451225-ford-mustang-lujo-v6-mt-2010-_JM
Ford Expedition 2010 Limited 4x2 Max - $ 270,000.00	2010	SUV	5.4	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-582854656-ford-expedition-2010-limited-4x2-max-_JM
Ford Focus Hb St Europa 6vel Mt 3p 2010 - $ 170,000.00	2010	Hatchback	2.0	Manual	Gasolina	3	https://auto.mercadolibre.com.mx/MLM-635316087-ford-focus-hb-st-europa-6vel-mt-3p-2010-_JM
Ford Mustang 2010, Oxford, V6. - $ 162,900.00	2010	Coupé	4.0	Automática	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-633484441-ford-mustang-2010-oxford-v6-_JM
Ford Lobo 2010 - $ 260,000.00	2010				Gasolina	4	https://auto.mercadolibre.com.mx/MLM-634481112-ford-lobo-2010-_JM
Montainer Con Q/c 3 Filas De Piel Y De 6 Cilindros - $ 144,000.00	2010	SUV	4.0 LTS DE 6 CILINDROS	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-630474752-montainer-con-qc-3-filas-de-piel-y-de-6-cilindros-_JM
Ford Mustang Lujo V6 Mt - $ 180,000.00	2010	Convertible	3.7	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-635801542-ford-mustang-lujo-v6-mt-_JM
Ford Explorer Sport Trac - $ 165,000.00	2010	Pick-Up		Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-634501590-ford-explorer-sport-trac-_JM
Ford Focus 3p Hb Rs 6vel Mt 2010 - $ 295,000.00	2010	Hatchback	2.0	Manual	Gasolina	3	https://auto.mercadolibre.com.mx/MLM-634595962-ford-focus-3p-hb-rs-6vel-mt-2010-_JM
Ford Escape 2.0 Xls Tela L4 At 2010 - $ 120,000.00	2010	SUV	2.0	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-636644088-ford-escape-20-xls-tela-l4-at-2010-_JM
Ford Fusion Se L4 At - $ 116,000.00	2010	Sedán	2.3	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-630329342-ford-fusion-se-l4-at-_JM
Ford Focus Sport Hatchback - $ 99,999.00	2010	Coupé	2.0	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-634823056-ford-focus-sport-hatchback-_JM
Ford Mustang 4.6 Gt Equipado Convertible Mt 2010 - $ 189,500.00	2010	Convertible	4.6	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-631848834-ford-mustang-46-gt-equipado-convertible-mt-2010-_JM
Ford F-150 Xlt - $ 243,000.00	2010				Gasolina	4	https://auto.mercadolibre.com.mx/MLM-633935800-ford-f-150-xlt-_JM
Ford Explorer Eddie Bauer 6cil 4x4 - $ 155,000.00	2010				Gasolina	5	https://auto.mercadolibre.com.mx/MLM-637077519-ford-explorer-eddie-bauer-6cil-4x4-_JM
Ford Escape 3.0 Xlt Piel Limited At 2010 - $ 85,500.00	2010	SUV	3.0	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-634571782-ford-escape-30-xlt-piel-limited-at-2010-_JM
Ford Fusion - $ 109,000.00	2010		2.5	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-636259551-ford-fusion-_JM
Ford Focus Sedan Sport Automático. Modelo 2010. 5 Puertas - $ 80,000.00	2010	Coupé	2.0	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-636611973-ford-focus-sedan-sport-automatico-modelo-2010-5-puertas-_JM
Ford Escape 3.0 Xlt Piel Limited At - $ 110,000.00	2010	SUV	3.0	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-634362376-ford-escape-30-xlt-piel-limited-at-_JM
Ford F-150 2010 Remato $129,000 - $ 129,000.00	2010		gasolina	Automática	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-633585041-ford-f-150-2010-remato-129000-_JM
Ford Focus Europa Ambiente 5vel - $ 84,000.00	2010	Coupé	2.0	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-635176156-ford-focus-europa-ambiente-5vel-_JM
Ford Lobo Xlt - $ 185,000.00	2010	Pick-Up	5.0	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-635855788-ford-lobo-xlt-_JM
Fors Ecosport 2010 - $ 125,000.00	2010	Vagoneta	2.0	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-634454459-fors-ecosport-2010-_JM
Ford Fusion Sel V6 Ford Interactive System At - $ 120,000.00	2010	Sedán	3.0	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-635693400-ford-fusion-sel-v6-ford-interactive-system-at-_JM
Ford Focus Sedan Ambiente At - $ 88,500.00	2010	Coupé	2.0	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-637585078-ford-focus-sedan-ambiente-at-_JM
Ford Escape 2.5 Xls Tela L4 Aut - $ 149,000.00	2010	SUV	2.0	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-636884488-ford-escape-25-xls-tela-l4-aut-_JM
Ford Escape 3.0 Xlt Piel Limited At 2010 - $ 136,000.00	2010	SUV	3.0	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-636861687-ford-escape-30-xlt-piel-limited-at-2010-_JM
Ford Focus Sedan Ambiente 5vel Mt 2010 - $ 90,000.00	2010	Coupé	2.0	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-634574087-ford-focus-sedan-ambiente-5vel-mt-2010-_JM
Ford Fusion Se V6 At 2010 - $ 109,000.00	2010	Sedán	3.0	Automática	Híbrido	4	https://auto.mercadolibre.com.mx/MLM-635759872-ford-fusion-se-v6-at-2010-_JM
Ford Expedition 5.4 Limited Piel V8 4x2 At 2010 - $ 200,000.00	2010	SUV	5.4	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-634620683-ford-expedition-54-limited-piel-v8-4x2-at-2010-_JM
Ford Lobo Lariat 4x2 - $ 270,000.00	2010	Pick-Up	3.5	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-636336849-ford-lobo-lariat-4x2-_JM
Ford Fusion Sport V6 Mt 2010 - $ 120,000.00	2010	Sedán	3.0	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-636198778-ford-fusion-sport-v6-mt-2010-_JM
Ford Ranger Pickup Xl L4 Crew Cab 5vel Aa Mt - $ 155,000.00	2010	Pick-Up	2.3	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-636200828-ford-ranger-pickup-xl-l4-crew-cab-5vel-aa-mt-_JM
Ford Fusion Se L4 At 2010 - $ 120,000.00	2010	Sedán	2.3	Automática	Híbrido	4	https://auto.mercadolibre.com.mx/MLM-636467842-ford-fusion-se-l4-at-2010-_JM
Ford Edge 3.5 Limited V6 Piel Qc At 2010 - $ 145,900.00	2010	SUV	3.5	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-636238377-ford-edge-35-limited-v6-piel-qc-at-2010-_JM
Ford Focus Se - $ 89,000.00	2010				Gasolina	4	https://auto.mercadolibre.com.mx/MLM-630952479-ford-focus-se-_JM
Ford Taurus - $ 135,000.00	2010				Gasolina	4	https://auto.mercadolibre.com.mx/MLM-633755939-ford-taurus-_JM
Ford Expedition 5.4 Limited Piel V8 4x2 At 2010 - $ 245,000.00	2010	SUV	5.4	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-635894323-ford-expedition-54-limited-piel-v8-4x2-at-2010-_JM
Ford Focus Hb Sport At 2010 - $ 120,000.00	2010	Hatchback	2.0	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-635718198-ford-focus-hb-sport-at-2010-_JM
Ford Edge 3.5 Limited V6 Piel Qc At 2010 - $ 165,000.00	2010	SUV	3.5	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-637259583-ford-edge-35-limited-v6-piel-qc-at-2010-_JM
Ford Edge 3.5 Sel At 2010 - $ 148,000.00	2010	SUV	3.5	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-636199820-ford-edge-35-sel-at-2010-_JM
Ford F-550 Turbo Diesel - $ 330,000.00	2010				Diesel	2	https://auto.mercadolibre.com.mx/MLM-635209323-ford-f-550-turbo-diesel-_JM
Ford F-150 Doble Cabina - $ 214,000.00	2010				Gasolina	4	https://auto.mercadolibre.com.mx/MLM-634390365-ford-f-150-doble-cabina-_JM
Ford Ranger Pickup Xl L4 Crew Cab 5vel A/a 2010 - $ 170,000.00	2010	Pick-Up	2.3	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-633728346-ford-ranger-pickup-xl-l4-crew-cab-5vel-aa-2010-_JM
Ford Focus Sedan Ambiente At 2010 - $ 79,500.00	2010	Coupé	2.0	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-635495405-ford-focus-sedan-ambiente-at-2010-_JM
Ford Fiesta 1.6 First 5vel Sedan Mt 2010 - $ 69,000.00	2010	Hatchback	1.6	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-635312074-ford-fiesta-16-first-5vel-sedan-mt-2010-_JM
¡gánela!   Ford Edge 3.5 Limited V6 Piel Qc At - $ 170,000.00	2010	SUV	3.5	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-633923522-ganela-ford-edge-35-limited-v6-piel-qc-at-_JM
Ford F-150 Doble Cabina - $ 180,000.00	2010				Gasolina	4	https://auto.mercadolibre.com.mx/MLM-634028816-ford-f-150-doble-cabina-_JM
Ford Explorer - $ 200,000.00	2010				Gasolina	5	https://auto.mercadolibre.com.mx/MLM-636607388-ford-explorer-_JM
Ford Focus Sedan Sport At - $ 90,000.00	2010	Coupé	2.0	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-635326029-ford-focus-sedan-sport-at-_JM
Ford Expedition 5.4 Limited Piel V8 4x2 At - $ 260,000.00	2010	SUV	5.4	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-635276157-ford-expedition-54-limited-piel-v8-4x2-at-_JM
Ford F-450 F450  - $ 175,000.00	2010				Gasolina	2	https://auto.mercadolibre.com.mx/MLM-637289240-ford-f-450-f450-_JM
Ford Transit - $ 170,000.00	2010				Diesel	3	https://auto.mercadolibre.com.mx/MLM-633814956-ford-transit-_JM
Ford F-250 F 250 Doble Cabina - $ 280,000.00	2010				Diesel	4	https://auto.mercadolibre.com.mx/MLM-630812390-ford-f-250-f-250-doble-cabina-_JM
Ford Lobo 3.5 Lariat Cabina Doble 4x4 Mt 2010 - $ 259,000.00	2010	Pick-Up	3.5	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-637099299-ford-lobo-35-lariat-cabina-doble-4x4-mt-2010-_JM
Ford Ecosport Mk  7 Pssajeros - $ 125,000.00	2010				Gasolina	5	https://auto.mercadolibre.com.mx/MLM-634494747-ford-ecosport-mk-7-pssajeros-_JM
Ford Fusion Se  2010     57000 Km - $ 110,000.00	2010		2.5	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-633496551-ford-fusion-se-2010-57000-km-_JM
Ford Mustang  Gt  Convertible Premium - $ 255,000.00	2010	Convertible	4.6	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-634686785-ford-mustang-gt-convertible-premium-_JM
Ford Focus Hb Sport At 2010 - $ 118,000.00	2010	Hatchback	2.0	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-635739034-ford-focus-hb-sport-at-2010-_JM
Ford Escape 3.0 Xlt Piel Limited At 2010 - $ 147,000.00	2010	SUV	3.0	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-635979835-ford-escape-30-xlt-piel-limited-at-2010-_JM
Ford Ecosport Automática - $ 122,000.00	2010				Gasolina	5	https://auto.mercadolibre.com.mx/MLM-634874242-ford-ecosport-automatica-_JM
Ford Expedition Eddie Bauer - $ 195,000.00	2010				Gasolina	5	https://auto.mercadolibre.com.mx/MLM-636824393-ford-expedition-eddie-bauer-_JM
Ford Focus Sedan Sport At - $ 85,000.00	2010	Coupé	2.0	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-636054574-ford-focus-sedan-sport-at-_JM
Ford Escape 3.0 Xlt Piel Limited At 2010 - $ 140,000.00	2010	SUV	3.0	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-635723257-ford-escape-30-xlt-piel-limited-at-2010-_JM
Ford Ranger Pickup Xl L4 Crew Cab 5vel Aa Mt - $ 180,000.00	2010	Pick-Up	2.3	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-637235545-ford-ranger-pickup-xl-l4-crew-cab-5vel-aa-mt-_JM
Ford Explorer Xlt Piel Y Pantalla - $ 190,000.00	2010	SUV	4.6	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-635009653-ford-explorer-xlt-piel-y-pantalla-_JM
Ford Escape 2.0 Xls 5vel L4 Mt 2010 - $ 125,500.00	2010	SUV	2.0	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-637412285-ford-escape-20-xls-5vel-l4-mt-2010-_JM
Ford Edge 3.5 Sel At 2010 - $ 142,500.00	2010	SUV	3.5	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-632810587-ford-edge-35-sel-at-2010-_JM
Ford Fusion Se L4 At 2010 - $ 95,500.00	2010	Sedán	2.3	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-635836804-ford-fusion-se-l4-at-2010-_JM
Ford Ranger Chasis Cab Xl L4 5vel Mt 2010 - $ 128,600.00	2010	Pick-Up	2.3	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-637020170-ford-ranger-chasis-cab-xl-l4-5vel-mt-2010-_JM
Ford Edge 3.5 Limited V6 Piel Qc At 2010 - $ 175,000.00	2010	SUV	3.5	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-635214687-ford-edge-35-limited-v6-piel-qc-at-2010-_JM
Ford F-150 Modelo 2010 En Excelentes Condiciones - $ 210,000.00	2010	Pick-Up	4.6 LTS		Gasolina	2	https://auto.mercadolibre.com.mx/MLM-637039127-ford-f-150-modelo-2010-en-excelentes-condiciones-_JM
Ford Edge 5p Limited Aut 3.5l V6 Piel Q/c 2010 - $ 215,000.00	2010	SUV	3.5	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-635132993-ford-edge-5p-limited-aut-35l-v6-piel-qc-2010-_JM
Ford Fusion S L4 At 2010 - $ 97,000.00	2010	Sedán	2.3	Automática	Híbrido	4	https://auto.mercadolibre.com.mx/MLM-635208651-ford-fusion-s-l4-at-2010-_JM
Ford Explorer 4.0 Xlt V6 Tela Base 4x2 Mt 2010 - $ 127,800.00	2010	SUV	4.0	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-636825806-ford-explorer-40-xlt-v6-tela-base-4x2-mt-2010-_JM
Ford Econoline Wagon 8 Pasajeros - $ 190,000.00	2010				Gasolina	5	https://auto.mercadolibre.com.mx/MLM-637046257-ford-econoline-wagon-8-pasajeros-_JM
Ford Focus Hb Sport At 2010 - $ 125,000.00	2010	Hatchback	2.0	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-636567429-ford-focus-hb-sport-at-2010-_JM
Ford Fusion Sport V6 Mt 2010 - $ 115,000.00	2010	Sedán	3.0	Manual	Híbrido	4	https://auto.mercadolibre.com.mx/MLM-635263625-ford-fusion-sport-v6-mt-2010-_JM
Ford Fusion Se V6 At - $ 120,000.00	2010	Sedán	3.0	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-636899673-ford-fusion-se-v6-at-_JM
Ford Edge 3.5 Limited V6 Piel Dvd At 2010 - $ 160,000.00	2010	SUV	3.5	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-637473775-ford-edge-35-limited-v6-piel-dvd-at-2010-_JM
Ford Edge 3.5 Limited V6 Piel Qc At 2010 - $ 195,000.00	2010	SUV	3.5	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-635180104-ford-edge-35-limited-v6-piel-qc-at-2010-_JM
Ford Lobo 2010 - $ 230,000.00	2010				Gasolina	4	https://auto.mercadolibre.com.mx/MLM-633821748-ford-lobo-2010-_JM
Ford Escape  2010 Limited - $ 147,000.00	2010	SUV	3.0	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-637033525-ford-escape-2010-limited-_JM
Ford Fusion Se L4 At, Factura De Aseguradora, - $ 89,000.00	2010	Sedán	2.3	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-634833524-ford-fusion-se-l4-at-factura-de-aseguradora-_JM
Ford Edge 3.5 Sel At 2010 - $ 100,000.00	2010	SUV	3.5	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-635666441-ford-edge-35-sel-at-2010-_JM
Ford Fusion Sel V6 Ford Interactive System At - $ 100,000.00	2010	Sedán	3.0	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-636879295-ford-fusion-sel-v6-ford-interactive-system-at-_JM
Ford Lobo Lariat - $ 290,000.00	2010	Pick-Up		Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-635453099-ford-lobo-lariat-_JM
Ford Escape 2.0 Xls 5vel L4 Mt - $ 132,000.00	2010	SUV	2.0	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-633773302-ford-escape-20-xls-5vel-l4-mt-_JM
Ford Fiesta 2010 - $ 75,000.00	2010				Gasolina	4	https://auto.mercadolibre.com.mx/MLM-635815274-ford-fiesta-2010-_JM
Ford Escape 2.0 Xls Tela L4 At - $ 145,000.00	2010	SUV	2.0	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-633831677-ford-escape-20-xls-tela-l4-at-_JM
Ford Focus Rs 2010 Asientos Recaro Sportster Cs Performance - $ 80,000.00	2010	Hatchback	2.0	Manual	Gasolina	3	https://auto.mercadolibre.com.mx/MLM-637603361-ford-focus-rs-2010-asientos-recaro-sportster-cs-performance-_JM
Ford Focus Rs 2010 Asientos Recaro Sportster Cs Performance - $ 80,000.00	2010	Hatchback	2.0	Manual	Gasolina	3	https://auto.mercadolibre.com.mx/MLM-637602912-ford-focus-rs-2010-asientos-recaro-sportster-cs-performance-_JM
Ford Focus Rs 2010 Asientos Recaro Sportster Cs Performance - $ 80,000.00	2010	Hatchback	2.0	Manual	Gasolina	3	https://auto.mercadolibre.com.mx/MLM-637602355-ford-focus-rs-2010-asientos-recaro-sportster-cs-performance-_JM
Ford Focus Rs 2010 Asientos Recaro Sportster Cs Performance - $ 80,000.00	2010	Hatchback	2.0	Manual	Gasolina	3	https://auto.mercadolibre.com.mx/MLM-637601497-ford-focus-rs-2010-asientos-recaro-sportster-cs-performance-_JM
Ford Fusion Se V6  2010 - $ 110,000.00	2010	Sedán	3.0	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-637591521-ford-fusion-se-v6-2010-_JM
Ford Fusion Sport V6 Mt 2010 - $ 108,000.00	2010	Sedán	3.0	Manual	Híbrido	4	https://auto.mercadolibre.com.mx/MLM-636479473-ford-fusion-sport-v6-mt-2010-_JM
Ford Fusion Sel V6 Ford Interactive System At 2010 - $ 115,000.00	2010	Sedán	3.0	Automática	Híbrido	4	https://auto.mercadolibre.com.mx/MLM-634900364-ford-fusion-sel-v6-ford-interactive-system-at-2010-_JM
Ford Lobo Xlt - $ 230,000.00	2010	Pick-Up	5.0	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-634385798-ford-lobo-xlt-_JM
Ford Fusion 2010 Sel V6 Blanco 39000 Km - $ 160,000.00	2010	Sedán	3.0	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-637277338-ford-fusion-2010-sel-v6-blanco-39000-km-_JM
Ford Focus Sedan Ambiente 5vel Mt 2010 - $ 110,000.00	2010	Coupé	2.0	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-637507589-ford-focus-sedan-ambiente-5vel-mt-2010-_JM
Ford Transit Transit 2010 - $ 138,000.00	2010				Diesel	2	https://auto.mercadolibre.com.mx/MLM-637510482-ford-transit-transit-2010-_JM
Ford F-150 2010 - $ 170,000.00	2010				Gasolina	4	https://auto.mercadolibre.com.mx/MLM-633917837-ford-f-150-2010-_JM
Ford Edge 3.5 Sel At - $ 145,000.00	2010	SUV	3.5	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-636334911-ford-edge-35-sel-at-_JM
Ford F-150 F-150 - $ 160,000.00	2010				Gasolina	2	https://auto.mercadolibre.com.mx/MLM-636140497-ford-f-150-f-150-_JM
Ford Explorer 5p Limited V6 4x2 Sync 2010 - $ 185,000.00	2010	SUV	4.0	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-634328853-ford-explorer-5p-limited-v6-4x2-sync-2010-_JM
Ford Escape 3.0 Xlt Piel Limited At - $ 160,000.00	2010	SUV	3.0	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-636151569-ford-escape-30-xlt-piel-limited-at-_JM
Ford Otros Modelos - $ 125,000.00	2010				Gasolina	5	https://auto.mercadolibre.com.mx/MLM-634500354-ford-otros-modelos-_JM
Ford Fusion S L4 At - $ 90,000.00	2010	Sedán	2.3	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-636189863-ford-fusion-s-l4-at-_JM
Ford Focus Sedan Ambiente 5vel Mt - $ 98,000.00	2010	Coupé	2.0	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-633572083-ford-focus-sedan-ambiente-5vel-mt-_JM
Ford Explorer Limited V8 Sync 4x2 Mt - $ 163,000.00	2010	SUV	4.6	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-636931327-ford-explorer-limited-v8-sync-4x2-mt-_JM
Ford Escape 3.0 Xlt Piel Limited At 2010 - $ 120,000.00	2010	SUV	3.0	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-635203030-ford-escape-30-xlt-piel-limited-at-2010-_JM
Remato Ford F-150 - $ 120,000.00	2010	Pick-Up	V8 4.6L	Automática	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-637503573-remato-ford-f-150-_JM
Ford F-350 Xl  - $ 235,000.00	2010				Gasolina	2	https://auto.mercadolibre.com.mx/MLM-636170282-ford-f-350-xl-_JM
Ford Focus Sedan Sport 5vel Mt - $ 128,000.00	2010	Coupé	2.0	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-635152189-ford-focus-sedan-sport-5vel-mt-_JM
